Titolo,Review,X,0,1,2,3,4,5,6,7,8,9
A Wolf in Autumn,"I'd been meaning to replay this game a second time before submitting a review, mainly because of some plot developments that really demand a second viewing in order to contextualize properly the things that are happening in the game.   I did play the devs' previous games multiple times, but I have to admit, part of the reason why I'd taken so long here was because AWIA SCARES me. People may differ on what they conceive as horror, but for me, this is a horror game. Yes, it continues the sort of exploratory and puzzle style with focus on narration and story from the dev's previous games, but it is terrifying to me.  It begins with some text that appears straightforward, but then gets increasingly intense as the text screens progress, accompanied by some very aptly ominous music. And that's just the prologue before the game begins. You awaken to find yourself in a bright, oversaturated, and mesmerizing arboreal environment. And things seem pleasant again. Yeah, you're locked in a shed, but you easily get out, and you're able to communicate with your mom. But as you begin to explore your surroundings, things get more unnerving, and you find yourself feeling more vulnerable.  That's much as I can really describe of the setting without spoiling anything. The story in AWIA is a bit vague and unclear at first (and even a little after a second viewing), but it's not a disservice to the game. It's a very surreal experience, and the game does an excellent job of slowly giving more information to the player about who you are and what is going on. It's actually done very well, and adds to why the game is so scary to me. I can't really say much, but just the little bits of flavor text when you pick up certain items, or enter certain areas help to convey, although not so subtly, very organically, bits and pieces of your character (like why you can only carry one item at a time).   Speaking of flavor text, the dev mentioned to me in a previous comment how one of the things he added in The Music Machine, was a larger variety of objects in the world to interact with because he felt that it added immersion. I definitely agree, and it was one of the things I liked in TMM versus The Moon Sliver. It gets even better in this game. When you attempt to use certain objects to deal with certain puzzles, there's actually unique text describing why your item doesn't work, instead of a generic “this item does not work here”. It's great, and I could be wrong, but I think there are also different ways to solve some of the different puzzles. All this just adds to the immersion, that you really are a little girl just fumbling around trying to figure stuff out.  And as you try to figure stuff out, the game may seem a bit slow at the beginning (at least it was for me, because I could not figure out many of the puzzles without quite a bit of roaming about because the...trigger points aren't as obvious), but it's quite rewarding, and like many good horror films...it gets increasingly disturbing as you progress, until you get to the final sequence and it's just snowballing in your face.  Overally, I greatly recommend this if you're into the previous games by the dev. And even if you weren't, I feel like you might have a different opinion about this. The game is much more intense. The puzzles are much more interesting. And the voice acting is incredible (as I said, this game legitimately scares me. It's emotionally taxing for all sorts of reasons). The story and characters seem rich. I say seem, because again, it's a bit unclear. But as I said, it's not a bad thing, and I look forward to additional plays, and looking through internet discussions to piece together exactly what is going on between the girl and her mother.  The graphics are gorgeous, and very fitting as you'll find. The music is excellent as with the dev's previous works. And at the end of the day. It's cheap, it's a quick play (under an hour). If you're looking for a quick, immersive, horror experience but with more emotional and narrative substance, I'm not sure you can really do better than this.",x,2,0,0,0,0,0,0,0,0,0
Alan Wake,"I had never played Alan Wake before and after seeing it on sale during the 2014 Summer Sale I decided to invest in it. This is by far one of the greatest storylines of any PC game that I have played; the detail, concept, graphics and soundtrack compliment the plot to make it one true masterpiece. Once I had downloaded and installed the game I adjusted my settings and went in game, the twelve hours I have on this game are from me playing this game back-to-back in a single day, the second best purchase of any game in my extensive Steam library; I can't recommend this game highly enough.    Pros:     A very well optimised game, I was well below the minimum requirements and still achieved a solid 30-45FPS on low settings.     Captivating and perplex storyline that made me play the game from start to finish in a single day.     Amazing graphics even on low settings, after seeing it running on ultra at 4K resolution, it looks even more amazing.     After purchasing this game I recieved a free 320KBs MP3 copy of the soundtrack and it's absolutely astounding, the composer is to be congratulated.   Cons:     A sequel was made ( Alan Wake's American Nightmare ), but it felt more of a technical demonstration and failed to captivate me in the same way this game did.",x,2,0,0,0,0,0,0,0,0,0
Alien Swarm,"This game is freee to play so...what do you have to loose in playing it?  Nothing...other then the hours you will spend playing it. Oh yes.   For a free game this is more then worth it. It allows team work, tactics, or even the head strong rushes if you wish.  Its mostly easy to join a game with random strangers and be able to work together, as at least one person will know what they are doing.  It does best when you are in a group with your freinds. Playing, planning, and working together.  It has a number of good before game and after game features that allow you to look at how to tackle the map ahead of time.  As well as see how well you did and trace your path through the map afterwards.  A great tool to have, but often goes unused (or used to draw D**K pics) with strangers on the public servers.   Yes i recommend this game.  Best if played with your freinds.",x,0,0,0,3,0,1,0,0,0,0
Alien: Isolation,"I don't normally play survival horror games, but after hearing so much praise about this game and being a fan of the original movie, I thought I'd try it out.   Now I remember why I stay away from the horror genre! This game is amazing, and true to the original 1979 movie in so many ways, but it scared the beejeezus out of me, and I found myself wanting the game to end so I could stop damaging my heart, lol.   It's hard to rate a game like this, because it is unique in a lot of ways. The story, graphics, and sound are amazing, and the detail given from the movie makes this a real treat for fans of the movie. However, the constant fear and paranoia that forced me to stay in crouch mode and constantly look over my shoulder at every little sound began to wear thin after a while.  I realized something important about myself, though. Were I ever to be in Amanda Ripley's situation on Sevastopol, I would take the easy way out and end it all before going through what she did. Yep, I'm a wimp!",x,3,2,0,0,0,0,0,0,0,0
Alien: Isolation,"The alien universe has had many developements over the years, including the many sequels to the original horror film as well as the many AVP spinoffs. However in my opinion, none has yet matched the original, claustrophobic, and truly terrifying spirit embodied by Alien. This game has taken that spirit to heart in nearly every way, reproducing the smallest details of the original film, but also changing them in the best and most subtle ways to accomodate the change in medium. There is little to explain about the mechanics of the game, other than the simple fact that you are trapped aboard a star freighter similar in design to the Nostromo with the Alien, a motion tracker, and a set of gadgets that ultimately become useless against your biggest threat as it actively learns how you play. This game has all the suspense and atmosphere of Amnesia, fast paced action and thrill of Outlast, and the amazing sci-fi soul that only the alien universe can provide. I promise that if you are a fan of the original film, this game will not disappoint you, and that you will likely die more than once while admiring the detail and atmosphere. But make no mistake, this is a horror game in the spirit of the original film... if you have no desire to feel like a member of the crew of the Nostromo as they are hunted down one by one by an invincible and deadly predator, you had better go with another game.",x,0,1,0,0,0,0,0,0,0,0
Alien: Isolation,"I don't normally play survival horror games, but after hearing so much praise about this game and being a fan of the original movie, I thought I'd try it out.   Now I remember why I stay away from the horror genre! This game is amazing, and true to the original 1979 movie in so many ways, but it scared the beejeezus out of me, and I found myself wanting the game to end so I could stop damaging my heart, lol.   It's hard to rate a game like this, because it is unique in a lot of ways. The story, graphics, and sound are amazing, and the detail given from the movie makes this a real treat for fans of the movie. However, the constant fear and paranoia that forced me to stay in crouch mode and constantly look over my shoulder at every little sound began to wear thin after a while.  I realized something important about myself, though. Were I ever to be in Amanda Ripley's situation on Sevastopol, I would take the easy way out and end it all before going through what she did. Yep, I'm a wimp!",x,0,2,0,0,0,0,0,0,0,0
Alpha Protocol,"Alpha Protocol is one of the most responsive RPGs I have ever played. Even as the overall plot stays on course to take you through much the same set of levels, characters and circumstances react to your actions in ways you may not even appreciate without a second playthrough. Alpha Protocol's story isn't even that interesting from a wide perspective, honestly - what makes this game amazing is all the work Obsidian put into its execution, shaping a story whose interactivity blows so many other games out of the water.  Many of the mechanics are roughly executed or even just ill-conceived, for which Alpha Protocol has been deservedly criticized. Even at release it was not a very good shooter or a very good stealth game, and those parts have certainly not improved with age. But at the end of the day, solid execution on the narrative end keeps things interesting and helps make the game more than just the sum of its parts.  If you like branching narrative in your action RPGs, then you need to see what an amazing job this game does in both making its narrative threads reactive and in tying them all together. After playing Alpha Protocol, I always wish more games were like it.",x,0,0,0,0,0,0,0,0,0,0
Amnesia: A Machine for Pigs,Such a masterpiece for such a cheap price. The atmosphere was really disturbing and different compared to other horror games. Must buy if you are a fan of horror and thrill!,x,0,3,0,0,0,0,0,0,0,0
Amnesia: The Dark Descent,"Very good game. I enjoy horror games and this was very enjoyable. This game works very well on Mac OS, I play on a Mac. But... I cannot figure out how in the world to install custom stories. I've watched a ton of videos on it and connot figure it out. Could someone please please please help me.",x,0,3,0,0,0,0,0,0,0,0
Awesomenauts,"  -Quick Review-   Awesomenauts is a 2D MOBA (Multiplayer online battle arena), with a strong sense of progression, and a lot of different dynamics that can be taken into account. I don't really have anything negative to say about the game, read on if you want to know more specifics!    -Detailed breakdown review-    Story:  Two sides are at war, choose your awesomenaut and ship out and defeat the other team! As you would expect from a game based completely on battling there isn't much to explain about the story, there is a nice opening cinematic that has a hilarious similar to a Power Rangers episode, but other than that the game is mostly an exchange of going back and forward fighting indefinitely.   Game Play:  The controls are best explained while playing the game. the movement is ASDW, you can use W or space to jump, some characters have a double jump, some fly. You use both mouse buttons and the scroll lock click to use various abilities. The button configuration is very toned down, you're limited on what abilities you can use, and before you start the game you select the abilities you want to unlock as you play the game. Okay, now I should say something about the various characters, there are A LOT of characters which might compliment your play style. I tried them all while playing 'offline practice mode', I found my favorite character and then intended to play as that character until I became very familiar with the game. As you play through the game (even playing offline practice mode) you will received experience that will unlock new awesomenauts and abilities for your awesomenauts. This element in the game gives me a very strong sense of progression throughout the game. (coupled with getting a lot of easy-to-earn-achievements that I earned while playing offline! (Thank you for that Awesomenauts!) I keep talking about 'offline practice mode', the reason I do is because I spent a lot of time playing in this mode before starting the game. When I first played this game I tried to play it with my friend, we were both equally noobish at what was going on, I didn't even know this was a MOBA! So naturally we got ourselves massacred. :( Left a bad taste in my mouth... ...But! after I discovered offline practice mode, I learned on my own without looking up guides how I wanted to play the game. Naturally if I wanted to get better guides would help, but I like to think I'm a fairly competent gamer, playing offline let me try out various characters and strategies without dragging down my team. You can adjust the AI to make practice easier or more difficult depending on your confidence. A final note about playing through the game, you start the game out with 'solar' or 'coins', you collect more of these from killing various npc / players, as you collect more, you return to your base to purchase upgrades for your awesomenaut making him/her stronger. knowing which ones to upgrade and which ones to select take practice, guides, or strategy. Once again, if you want to actually learn the game, try out offline practice mode to see what I mean! :D    Achievements:  I got a bit ahead of myself earlier with a note about the achievements. They were mostly straightforward: Win games, play games, taunt your enemy, go on a crazy killing spree, hoard up Solar (in-game currency) and then the rest are pretty much grind grind grind. Grind creep kills, grind turret kills, grind online game wins. Most of the simple achievements are simple, most of the grinding achievements you should just play the game to enjoy the game, let those grindy achievements happen if they happen. That is Atratzu's suggestion for this game's achievements.    Price:  Awesomenauts costs $9.99, So far (08/16/14) I've played 5.7 hours. I've really enjoyed learning how the game works, but my 'value system' dictates that I need to spend at least 9 hours in the game to make it worth-my-while. I definitely think this game has that type of replay-ability. As always, I recommend buying games when they're on sale, or getting them in humble bundles, I was given this game as a gift from one of my friends (You know who you are). And we haven't gotten around to playing together, but this game would really be fun to play with friends.    Conclusion:  Coming into this review, I knew from the start that I didn't really have anything negative to say about the game. *IF* there was one thing I would like to have in the game that I didn't have, I would like to play offline practice with my friends over steam, but that doesn't take away from the game in any way. Once again, story was 'meh' but amusing, game play was 'engaging different and fun', achievements were 'okay', and the price was 'fair'. I recommend this game to anyone who likes 2D platformers, and competitive battle games. If you would like to play it sometime with me, you're welcome to do so; I intend to continue playing this game over time. I really enjoyed it.",x,0,0,0,0,0,1,0,0,0,0
